distance,w,ct,sl,rloslopes,nb,nt,nvl,ntvl,nntvl,rls,nfse,rloc,rlomr,nohe,rlos,nos,noslopes,rlostep,nost,rlofr,nofre,prefer
1300,0.13,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1
1200,0.1,0,0,0.2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
1000,0.2,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,1
18,0.6,0,0,0.3,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0
1100,0.13,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,1
1500,0.1,0,0,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
800,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1
1500,0.1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.1,0,0,0,0,0,0,0
1100,0.13,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,1
1500,0.8,0,0,0.2,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0
1300,0.01,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1
1600,0.8,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
600,0.13,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1
900,0.8,0,0,0.3,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
1400,0.2,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1700,0.8,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0
1500,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,1
1000,1,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.1,0,0,0,0,0,0,0
1500,0.13,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1
1800,0.7,0,0,0.1,0,0,0,0,0,0.8,0,0,0,0,0.01,0,0,0,0,0,0,0
1100,0.13,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,1
1600,0.9,0,0,0.2,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
1500,0.13,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,1
1200,0.6,0,0,0.2,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0
900,0.13,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1
1200,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1300,0.13,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1400,0.6,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0.01,0,0,0,0,0,0,0
1500,0.13,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1
1200,0.8,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
